N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 9055216757189, Dim = 170
[11430056021384, 1, 2374839264195, 2374839264195]
[9055349410800, 1, 132653611, 132653611]
[14105490083685, 1, 5050273326496, 5050273326496]
[54864332273465, 4, 18643465244709, 18643465244709]
[6597488483586, 1, 2457728273603, -2457728273603]
[9335204810750, 1, 279988053561, 279988053561]
[7950169528574, 1, 1105047228615, -1105047228615]
[10618783207032, 1, 1563566449843, 1563566449843]
[6589556337000, 1, 2465660420189, -2465660420189]
[13324470534375, 1, 4269253777186, 4269253777186]
[7647475509375, 1, 1407741247814, -1407741247814]
[14804958307293, 2, 3305475207085, -3305475207085]
[5738815253314, 1, 3316401503875, -3316401503875]
[5919913785357, 1, 3135302971832, -3135302971832]
[8918106198573, 1, 137110558616, -137110558616]
[9617565508265, 1, 562348751076, 562348751076]
[277820433515625, 17, 123881748643412, 123881748643412]
[45977217293631, 4, 9756350264875, 9756350264875]
[9630820670625, 1, 575603913436, 575603913436]
[9071519677605, 1, 16302920416, 16302920416]
[6474334106240, 1, 2580882650949, -2580882650949]
[12445621917300, 1, 3390405160111, 3390405160111]
[8475545290815, 1, 579671466374, -579671466374]
[80046816635475, 7, 16660299335152, 16660299335152]
[60986680105351, 8, 11455053952161, -11455053952161]
[9771638306859, 1, 716421549670, 716421549670]
[9680188518000, 1, 624971760811, 624971760811]
[8805468750000, 1, 249748007189, -249748007189]
[122359608150000, 11, 22752223820921, 22752223820921]
[74599326484375, 9, 6897624330326, -6897624330326]
[7613468269407, 1, 1441748487782, -1441748487782]
[398891652938779, 36, 72903849679975, 72903849679975]
[86859007172080, 9, 5362056357379, 5362056357379]
[16624774741575, 2, 1485658772803, -1485658772803]
[7245330177800, 1, 1809886579389, -1809886579389]
[8809087072500, 1, 246129684689, -246129684689]
[18245293781715, 2, 134860267337, 134860267337]
[8106450000000, 1, 948766757189, -948766757189]
[7190975792000, 1, 1864240965189, -1864240965189]
[8168687902375, 1, 886528854814, -886528854814]
[35334191910836, 5, 9941891875109, -9941891875109]
[37503669741615, 4, 1282802712859, 1282802712859]
[15554183203125, 2, 2556250311253, -2556250311253]
[244476925539847, 27, 13926904256, -13926904256]
[17700439453125, 2, 409994061253, -409994061253]
[9102669048704, 1, 47452291515, 47452291515]
[27171469325000, 3, 5819053433, 5819053433]
[33748019147997, 4, 2472847880759, -2472847880759]
[480985256478727, 50, 28224418619277, 28224418619277]
[413537698681250, 49, 30167922421011, -30167922421011]
[81148405731250, 9, 348545083451, -348545083451]
[9004668750000, 1, 50548007189, -50548007189]
[9506406853125, 1, 451190095936, 451190095936]
[44889900322113, 5, 386183463832, -386183463832]
[26882324218750, 3, 283326052817, -283326052817]
[224476042727664, 25, 1904376202061, -1904376202061]
[890939211020690, 99, 5527247941021, -5527247941021]
[5534107438234375, 578, 300192152579133, 300192152579133]
[1176895207430943, 125, 44993112782318, 44993112782318]
[45599616616554, 5, 323532830609, 323532830609]
[9199159783632, 1, 143943026443, 143943026443]
[8988916015625, 1, 66300741564, -66300741564]
[117957275390625, 13, 239457547168, 239457547168]
[9052309360640, 1, 2907396549, -2907396549]
[153584834528125, 17, 353850344088, -353850344088]
[2195417357588961, 245, 23110747922344, -23110747922344]
[801845289918621, 88, 4986215285989, 4986215285989]
[733662797656250, 81, 190240323941, 190240323941]
[4753783374833152, 525, 205422691073, -205422691073]
[1335773840862208, 147, 4656977555425, 4656977555425]
[3105662922242452, 343, 276425473375, -276425473375]
[153730500000000, 17, 208184872213, -208184872213]
[63161172360000, 7, 225344940323, -225344940323]
[1955299830859375, 216, 626988693449, -626988693449]
[117538083210240, 13, 179734633217, -179734633217]
[1741161119140625, 192, 2559501760337, 2559501760337]
[49649732666015625, 5488, 45296897437607, -45296897437607]
[941485559765625, 104, 256982982031, -256982982031]
[13538360595703125, 1496, 8243673051619, -8243673051619]
[99645187500000, 11, 37803170921, 37803170921]
[12054495059152000, 1331, 2001555333441, 2001555333441]
[178229820962011000, 19683, 4010469740087, -4010469740087]
[19897863965001792, 2197, 3552749457559, 3552749457559]
[489438432600000000, 54043, 67353391234873, 67353391234873]
[9026316820422, 1, 28899936767, -28899936767]
[22231484020669, 2, 4121050506291, 4121050506291]
[22206616403125, 2, 4096182888747, 4096182888747]
[9049739638940, 1, 5477118249, -5477118249]
[9907540500000, 1, 852323742811, 852323742811]
[75240479212129, 5, 29964395426184, 29964395426184]
[10208553004980, 1, 1153336247791, 1153336247791]
[7639750518840, 1, 1415466238349, -1415466238349]
[9063141364750, 1, 7924607561, 7924607561]
[8491781520500, 1, 563435236689, -563435236689]
[17050802879169, 2, 1059630635209, -1059630635209]
[70314129956860, 7, 6927612656537, 6927612656537]
[7440719145860, 1, 1614497611329, -1614497611329]
[7497937284375, 1, 1557279472814, -1557279472814]
[8279929473725, 1, 775287283464, -775287283464]
[15764849753125, 1, 6709632995936, 6709632995936]
[7366555225575, 1, 1688661531614, -1688661531614]
[9599738425200, 1, 544521668011, 544521668011]
[9285461274375, 1, 230244517186, 230244517186]
[32267610621701, 4, 3953256407055, -3953256407055]
[10322913453125, 1, 1267696695936, 1267696695936]
[63761344421775, 4, 27540477393019, 27540477393019]
[9744882795648, 1, 689666038459, 689666038459]
[36956233177216, 3, 9790582905649, 9790582905649]
[47791902448763, 4, 11571035420007, 11571035420007]
[35631933624001, 5, 9644150161944, -9644150161944]
[11643536953125, 1, 2588320195936, 2588320195936]
[30560680535814, 5, 14715403250131, -14715403250131]
[356229091006635, 26, 120793455319721, 120793455319721]
[6985023210165, 1, 2070193547024, -2070193547024]
[7286877147264, 1, 1768339609925, -1768339609925]
[271016271577051, 15, 135188020219216, 135188020219216]
[56042628925283, 4, 19821761896527, 19821761896527]
[133217490861455, 12, 24554889775187, 24554889775187]
[77587488580602, 5, 32311404794657, 32311404794657]
[8120574662816, 1, 934642094373, -934642094373]
[8677162944450, 1, 378053812739, -378053812739]
[91544746796503, 8, 19103012738991, 19103012738991]
[47243044706715, 4, 11022177677959, 11022177677959]
[19379706824205, 2, 1269273309827, 1269273309827]
[30777147085685, 3, 3611496814118, 3611496814118]
[99735042228283, 12, 8927558857985, -8927558857985]
[11516031888823, 2, 6594401625555, -6594401625555]
[6747143162760, 1, 2308073594429, -2308073594429]
[15288602257775, 2, 2821831256603, -2821831256603]
[5921116801600, 1, 3134099955589, -3134099955589]
[9040195442432, 1, 15021314757, -15021314757]
[8595697718520, 1, 459519038669, -459519038669]
[6795043660625, 1, 2260173096564, -2260173096564]
[57223869649375, 9, 24273081165326, -24273081165326]
[18950365876585, 4, 17270501152171, -17270501152171]
[70739979879569, 9, 10756970935132, -10756970935132]
[8934302011635, 1, 120914745554, -120914745554]
[22378222771443, 2, 4267789257065, 4267789257065]
[7555960219808, 1, 1499256537381, -1499256537381]
[7515179546875, 1, 1540037210314, -1540037210314]
[6424741112634, 1, 2630475644555, -2630475644555]
[30150097681847, 3, 2984447410280, 2984447410280]
[90008665310655, 11, 9598719018424, -9598719018424]
[252768726384603, 28, 777342816689, -777342816689]
[42437629609375, 6, 11893670933759, -11893670933759]
[78214576171875, 7, 14828058871552, 14828058871552]
[348368408902423, 40, 13840261385137, -13840261385137]
[17290897276653, 2, 819536237725, -819536237725]
[188993492187500, 17, 35054807315287, 35054807315287]
[9951553291680, 1, 896336534491, 896336534491]
[84193308972608, 7, 20806791672285, 20806791672285]
[9039064560000, 1, 16152197189, -16152197189]
[18596758017915, 2, 486324503537, 486324503537]
[9025175761875, 1, 30040995314, -30040995314]
[10577756475000, 1, 1522539717811, 1522539717811]
[698712251765320, 77, 1460561461767, 1460561461767]
[26737543057225, 4, 9483323971531, -9483323971531]
[7009208215625, 1, 2046008541564, -2046008541564]
[62194399783776, 7, 1192117516547, -1192117516547]
[6426761754105, 1, 2628455003084, -2628455003084]
[83780746477155, 11, 15826637851924, -15826637851924]
[13654052229321, 2, 4456381285057, -4456381285057]
[17701542070625, 2, 408891443753, -408891443753]
[159055571903046, 17, 5116887030833, 5116887030833]
[10760021282440755, 1309, 1093257452719646, -1093257452719646]
[232978027541545, 21, 42818475640576, 42818475640576]
[8348600000000, 1, 706616757189, -706616757189]
[9582077264760, 1, 526860507571, 526860507571]
[9601400717568, 1, 546183960379, 546183960379]
[56171260946970, 7, 7215256353353, -7215256353353]
[9155307185024, 1, 100090427835, 100090427835]
[40290843359375, 4, 4069976330619, 4069976330619]
[100298284894395, 11, 690900565316, 690900565316]
[36506809857375, 4, 285942828619, 285942828619]
[482278664188321, 50, 29517826328871, 29517826328871]
[277062175803413, 25, 50681756873688, 50681756873688]
